PROPERTY.TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,Dollar/SQUARE.FEET,LATITUDE,LONGITUDE,DAYS.ON.MARKET
Single Family Residential,54950 Forest Haven Dr,Idyllwild,CA,92549,995000,4,4,3110,1,1975,320,33.7603102,-116.7010572,296
Single Family Residential,1512 N Brawley Ave,Fresno,CA,93722,885000,3,2,1943,4,1959,455,36.7593299,-119.8615095,91
Single Family Residential,15769 Hanford Armona,Lemoore,CA,93245,975000,6,3.5,2628,4,1930,371,36.3127084,-119.7405955,140
Single Family Residential,41829 N Fork Dr,Three Rivers,CA,93271,2395000,3,3.75,1814,8,1992,1320,36.4388159,-118.9070891,101
Single Family Residential,43224 Via Lucca,Indian Wells,CA,92210,2350000,3,3.5,2590,10,2012,907,33.7338575,-116.3381426,2
Single Family Residential,4961 E Central Ave,Fresno,CA,93725,2800000,6,4,4332,17,1993,646,36.6779207,-119.7005835,97
Single Family Residential,2073 Carol Lee Ln,Escondido,CA,92026,850000,3,2.5,1412,435,2021,602,33.1616302,-117.1238965,3
Single Family Residential,38413 Glen Abbey Ln,Murrieta,CA,92562,510000,2,2,1545,436,1986,330,33.5764959,-117.261931,33
Single Family Residential,30376 Tesoro Ranch Rd,Homeland,CA,92548,532865,4,2.5,1858,500,2025,287,33.748595,-117.130886,5
Single Family Residential,19847 Coventry Ln,Huntington Beach,CA,92646,625000,2,1.5,960,640,1964,651,33.674364,-117.957682,8
Single Family Residential,81 Metcalf Creek Trl,Big Bear Lake,CA,92315,199900,2,1,564,686,1920,354,34.228601,-116.934139,84
Single Family Residential,76 Metcalf Crk,Big Bear Lake,CA,92315,235000,1,1,696,696,1920,338,34.240992,-116.934846,45
Multi-Family (2-4 Unit),1265 Kendall Dr,San Bernardino,CA,92407,275000,2,1,727,727,1988,378,34.1673615,-117.3130281,76
Single Family Residential,19846 Lures Ln,Huntington Beach,CA,92646,650000,2,1.5,960,736,1963,677,33.6743194,-117.9613165,11
Single Family Residential,10210 Holburn Dr,Huntington Beach,CA,92646,559900,1,1,550,770,1964,1018,33.67436,-117.9502196,4
Single Family Residential,4574 Jamestowne Dr,Yorba Linda,CA,92886,650000,3,1.5,1190,780,1965,546,33.8943425,-117.8283015,3
Single Family Residential,4574 Jamestowne Dr,Yorba Linda,CA,92886,650000,3,1.5,1190,780,1965,546,33.8943425,-117.8283015,4
Single Family Residential,4565 S Bryant Paseo Ln,Ontario,CA,91762,568888,2,2.5,1044,799,2022,545,33.9909086,-117.5970861,33
Single Family Residential,10554 Cannon Dr,Rancho Cucamonga,CA,91730,725000,3,2.5,1833,800,2021,396,34.1138491,-117.5742133,4
Single Family Residential,10554 Cannon Dr,Rancho Cucamonga,CA,91730,725000,3,2.5,1833,800,2021,396,34.1138491,-117.5742133,4
Multi-Family (2-4 Unit),16050 Aventurine Ln,Chino,CA,91708,748800,4,3,1913,800,2022,391,33.9621589,-117.6449269,8
Multi-Family (2-4 Unit),10591 Huxley Dr,Rancho Cucamonga,CA,91730,615000,3,2.5,1542,800,2021,399,34.1120803,-117.5740544,13
Single Family Residential,75 Metcalf Creek Trl,Big Bear Lake,CA,92315,269900,2,1,435,808,1927,620,34.228746,-116.931651,25
Single Family Residential,15992 Jamie Ln #1,Fontana,CA,92336,595000,4,3,1592,820,2022,374,34.153729,-117.456266,150
Single Family Residential,15974 Jamie Ln #1,Fontana,CA,92336,570000,4,3,1592,820,2022,358,34.1537793,-117.4567742,223
Single Family Residential,46917 Highway 74 #3,Palm Desert,CA,92260,255000,2,1,840,840,1971,304,33.7074586,-116.396086,62
Single Family Residential,400 S Flower St #170,Orange,CA,92868,569000,2,1.5,1602,860,1972,355,33.7818107,-117.8772885,4
Single Family Residential,72654 Thrush Rd #1,Palm Desert,CA,92260,309973,2,1,810,871,1971,383,33.706237,-116.3970027,133
Single Family Residential,9946 Continental Dr,Huntington Beach,CA,92646,769000,4,1.5,1254,880,1963,613,33.6747183,-117.9545437,37
Single Family Residential,1938 W Culver Ave #14,Orange,CA,92868,850000,3,2.5,1348,882,1983,631,33.7815138,-117.8736582,3
Multi-Family (2-4 Unit),2004 Palm Ave,Highland,CA,92346,248000,2,1,882,882,1972,281,34.1338993,-117.209084,33
Single Family Residential,520 N Vine REAR Ave,Ontario,CA,91761,525000,1,1,704,924,1911,746,34.0689094,-117.6557765,27
Single Family Residential,2350 Osbun Rd #78,San Bernardino,CA,92404,274800,2,1,944,944,1972,291,34.1379829,-117.2481629,35
Single Family Residential,13839 Magnolia St,Garden Grove,CA,92844,624888,2,1.5,1024,986,1972,610,33.761553,-117.97278,4
Single Family Residential,44260 Monroe St #31,Indio,CA,92201,235000,2,1,999,999,1979,235,33.7272639,-116.2325527,150
